"Espacenet";"";"";"";"";"";"";"";"";
"Patentsuche";"";"";"";"";"";"";"";"";
"364 Treffer gefunden für nftxt = ""machine vise"" AND pd <= ""2005-01-01""";"";"";"";"";"";"";"";"";
"Treffer 1 bis 364 angezeigt";"";"";"";"";"";"";"";"";
"Abfragesprache: en / de / fr";"";"";"";"";"";"";"";"";
"Sortierkriterien: Relevanz";"";"";"";"";"";"";"";"";
"";"";"";"";"";"";"";"";"";
"No";"Titel";"Erfinder";"Anmelder";"Veröffentlichungsnummer";"Früheste Priorität";"IPC";"CPC";"Veröffentlichungsdatum";"Früheste Veröffentlichung";"Familiennummer";
"300";"APPARATUS AND METHOD FOR PROCESSING SPECIMEN";"TAKABA JUNYA 
SHIKINE ISAO";"NIPPON LIGHT METAL CO";"JP2000146778A 
JP3368849B2";"1998-11-10";"B23C3/00 
B23C5/10 
G01N1/28 
G01N3/00 
B23C3/00 
B23C5/10 
G01N1/28 
G01N3/00";"";"2000-05-26 
2003-01-20";"2000-05-26";"018103417";
"301";"BASE DEVICE AND GRIPPING DEVICE";"SUZUKI JOJI";"SUZUKI JOJI";"JPH07237137A";"1994-02-24";"B25B1/24 
B25B1/24";"";"1995-09-12";"1995-09-12";"012936183";
"302";"AUXILLIARY SUPPORT.";"SELLEW ERNEST BURCHARD [US]";"SELLEW ERNEST BURCHARD [US]";"US1092867A";"1912-07-29";"B23Q1/54";"B23Q1/54 (EP,US)";"1914-04-14";"1914-04-14";"003161079";
"303";"APPARATUS FOR POSITIONING AN ELEMENT ON A SURFACE";"SWANN GEORGE R 
MOORE ERIC R";"CHICK MACHINE TOOL INC [US]";"WO9607505A1";"1994-09-02";"B23Q3/10 
B25B1/24 
B23Q3/10 
B23Q3/18 
B25B1/24";"B23Q3/103 (EP) 
B23Q3/183 (EP) 
B25B1/2405 (EP) 
B25B1/2478 (EP) 
B25B1/2484 (EP) 
B25B1/2489 (EP)";"1996-03-14";"1996-03-14";"023158848";
"304";"Centering and quadding device";"ENGLISH THOMAS H";"";"US2666520A";"1948-07-19";"B41B11/38";"B41B11/38 (EP,US)";"1954-01-19";"1954-01-19";"021905832";
"305";"Two station machining vise with removable and off-settable jaws";"DURFEE JR DAVID L [US]";"";"US5458321A";"1993-08-31";"B25B1/10 
B23Q3/10 
B25B1/10 
B25B1/24";"B23Q3/102 (EP,US) 
B25B1/103 (EP,US) 
B25B1/2405 (EP,US) 
B25B1/2473 (EP,US) 
B25B1/2478 (EP,US) 
B25B1/2489 (EP,US) 
Y10S269/906 (EP,US) 
Y10T29/49998 (EP,US)";"1995-10-17";"1995-10-17";"022347342";
"306";"Apparatus for positioning an element on a surface";"SWANN GEORGE R [US] 
MOORE ERIC R [US]";"CHICK MACHINE TOOL INC [US]";"US5713118A";"1992-10-01";"B23Q3/00 
B23Q3/10 
B23Q3/18 
B25B1/10 
B25B1/24";"B23Q3/103 (EP,US) 
B23Q3/183 (EP,US) 
B25B1/103 (EP,US) 
B25B1/2405 (EP,US) 
B25B1/2478 (EP,US) 
B25B1/2484 (EP,US) 
B25B1/2489 (EP,US) 
Y10S269/90 (EP,US) 
Y10T29/49895 (EP,US) 
Y10T29/505 (EP,US) 
Y10T29/53991 (EP,US)";"1998-02-03";"1998-02-03";"027393050";
"307";"Device for the oscillable and fixed support of a machine bank screw on a machine table. (Machine-translation by Google Translate, not legally binding)";"";"";"ES273856U 
ES273856Y";"1983-08-02";"B25B29/00 
B25B29/00";"";"1984-06-16 
1985-01-01";"1984-06-16";"008426728";
"308";"AUTOMATIC VISE JAW";"NEWSWANGER P";"NEWSWANGER P";"US3758097A";"1971-06-25";"B25B1/08 
B25B1/18 
B25B1/18";"B25B1/18 (EP,US)";"1973-09-11";"1973-09-11";"022568643";
"309";"Quick change jaw plate";"BERNSTEIN LEON M [US]";"KURT MFG CO [US]";"US6022010A";"1997-07-11";"B25B1/24 
B25B1/24";"B25B1/2405 (EP,US) 
B25B1/2452 (EP,US) 
B25B1/2473 (EP,US)";"2000-02-08";"1999-01-11";"025402109";
"310";"VICE";"KAWASAKI MAMORU 
KONDO TAKAYOSHI";"MAKITA CORP";"JP2003025143A 
JP4176331B2";"2001-07-11";"B23D47/04 
B23Q3/06 
B25B1/10 
B25B1/24 
B27B29/00 
B23D47/04 
B23Q3/06 
B25B1/10 
B25B1/24 
B27B29/00";"";"2003-01-29 
2008-11-05";"2003-01-29";"019046380";
"311";"VISE DEVICE FOR PROCESSING MACHINE";"KAKIMOTO KAZUHIRO 
AKAMATSU TATSUYA";"RYOBI LTD";"JP3163245B2 
JPH09220703A";"1996-02-16";"B27F1/00 
B27F1/00";"";"1997-08-26 
2001-05-08";"1997-08-26";"012285082";
"312";"High precision adjustable stop gauge assembly";"WALTERS JEROME L [US] 
GREENE JOHN O [US]";"MULTIFOLD INTERNATIONAL CORP [US]";"US5895184A";"1997-02-11";"B23Q3/10 
B23Q16/00";"B23Q16/001 (EP,US) 
Y10T408/563 (EP,US) 
Y10T409/308624 (EP,US) 
Y10T409/308736 (EP,US)";"1999-04-20";"1999-04-20";"025174737";
"313";"Apparatus for facilitating the detachment of an element from an object";"SWANN GEORGE R [US] 
PARIS EDWARD S [US]";"CHICK MACHINE TOOL INC [US]";"US5623754A";"1992-10-01";"B25B27/14 
B23Q3/10 
B23Q3/18 
B25B1/10 
B25B1/24";"B23Q3/103 (EP,US) 
B23Q3/183 (EP,US) 
B25B1/103 (EP,US) 
B25B1/2405 (EP,US) 
B25B1/2478 (EP,US) 
B25B1/2484 (EP,US) 
B25B1/2489 (EP,US) 
Y10S269/90 (EP,US) 
Y10T29/49895 (EP,US) 
Y10T29/53683 (EP,US) 
Y10T29/53961 (EP,US) 
Y10T29/53983 (EP,US) 
Y10T29/54 (EP,US)";"1997-04-29";"1996-11-14";"023734782";
"314";"Removable jaw for vise-like workholding apparatus";"SWANN GEORGE R [US] 
MOORE ERIC R [US]";"CHICK MACHINE TOOL INC [US]";"US5720476A";"1996-02-05";"B23Q3/06 
B25B1/24";"B25B1/2405 (EP,US)";"1998-02-24";"1998-02-24";"024387765";
"315";"Method for supporting keys and key blanks during cutting thereof";"JUCHNIEWICZ VINCENT [US]";"MEDECO SECURITY LOCKS [US]";"US5671523A";"1995-09-15";"B23Q7/00 
B23C3/35";"B23C3/35 (EP,US) 
Y10T29/442 (EP,US) 
Y10T29/49998 (EP,US) 
Y10T409/300952 (EP,US)";"1997-09-30";"1997-03-16";"024108537";
"316";"Two station machining vise with removable and off-settable jaws";"DURFEE JR DAVID L [US]";"";"US5505437A";"1993-08-31";"B25B1/10 
B23Q3/10 
B25B1/10 
B25B1/24";"B23Q3/102 (EP,US) 
B25B1/103 (EP,US) 
B25B1/2405 (EP,US) 
B25B1/2473 (EP,US) 
B25B1/2478 (EP,US) 
B25B1/2489 (EP,US) 
Y10S269/906 (EP)";"1996-04-09";"1995-03-02";"026810655";
"317";"Kein Titel verfügbar";"";"";"US434424A";"";"";"B23G1/22 (EP,US) 
Y10T408/355 (EP,US) 
Y10T408/5634 (EP,US)";"1890-08-19";"1890-08-19";"002503328";
"318";"Enclosed two station machining vise with removable and off-settable jaws";"DURFEE JR DAVID L [US]";"TE CO [US]";"US5984290A";"1995-08-03";"B25B1/10 
B25B1/10 
B25B1/24";"B25B1/103 (EP,US) 
B25B1/24 (EP,US) 
B25B1/2405 (EP,US) 
B25B1/2478 (EP,US) 
Y10S269/906 (EP,US)";"1999-11-16";"1999-11-16";"027057054";
"319";"METHOD AND DEVICE FOR MANUFACTURING PRINTING PLATE";"KOBAYASHI TAKESHI 
KAWAKAMI YASUHIRO";"RICOH MICROELECTRONICS CO LTD";"JP2004249475A";"2003-02-18";"B41C1/05 
H01S3/00 
B41C1/05 
H01S3/00";"";"2004-09-09";"2004-09-09";"033023641";
"320";"DEVICE AND METHOD OF REMOVING SURFACE-SIDE PROPULSIVE COIL FOR MAGNETIC LEVITATION TYPE RAILWAY";"MIYASE HARUO 
OKADA KAZUYASU";"MITSUBISHI ELECTRIC CORP";"JPH11107202A";"1997-10-01";"E01B25/00 
E01B37/00 
E01B25/00 
E01B25/32 
E01B37/00";"";"1999-04-20";"1999-04-20";"017460596";
"321";"Retractable workpiece-positioning device, such as silva stop";"CAIRNS ANDREW G [US]";"";"US2003071404A1";"2001-10-01";"B23Q1/25 
B25B1/24";"B25B1/2468 (EP,US)";"2003-04-17";"2003-04-17";"026948908";
"322";"LASER DRILLING METHOD AND ITS EQUIPMENT";"KOBAYASHI TAKESHI 
KAWAKAMI YASUHIRO";"RICOH MICROELECTRONICS CO LTD";"JP2004216430A";"2003-01-16";"B23K26/00 
B23K26/06 
B23K26/08 
B23K26/00 
B23K26/064 
B23K26/08 
B23K26/082 
B23K26/382";"";"2004-08-05";"2004-08-05";"032897806";
"323";"Method and edge finding apparatus for use on a machine tool";"PEARSON RUNE S [US]";"PEARSON RUNE S [US]";"US5245759A";"1992-04-03";"B23B49/00 
B23Q17/22 
G01B5/25 
B23Q17/22 
G01B5/25";"B23Q17/2258 (EP,US) 
G01B5/25 (EP,US)";"1993-09-21";"1993-09-21";"025340463";
"324";"PRECISION VISE";"DUGAS PHILIP 
DUGAS DAVID A";"ATOM TOOL AND DIE CORP 
CREW S DIE CASTING CORP";"CA748313A";"";"";"";"1966-12-13";"1966-12-13";"036182678";
"325";"Precision vise";"PHILIP DUGAS 
MOUNT CLEMENT 
DUGAS DAVID A";"ATOM TOOL AND DIE CORP 
CREW S DIE CASTING CORP";"US3193276A";"1963-10-18";"B25B1/08";"B25B1/08 (EP,US)";"1965-07-06";"1965-07-06";"023232654";
"326";"MACHINE-CHUCK.";"HALLAS JAMES G [US]";"HALLAS JAMES G [US]";"US1242182A";"1916-06-15";"";"B25B1/2473 (EP,US)";"1917-10-09";"1917-10-09";"003309985";
"327";"Apparatus for expanding the worksurface of a vise-like workholding apparatus";"SWANN GEORGE R [US]";"CHICK MACHINE TOOL INC [US]";"US5634253A";"1992-10-01";"B25B1/10 
B23Q11/08 
B23Q3/10 
B23Q3/18 
B25B1/10 
B25B1/24";"B23Q11/08 (EP,US) 
B23Q3/103 (EP,US) 
B23Q3/183 (EP,US) 
B25B1/103 (EP,US) 
B25B1/24 (EP,US) 
B25B1/2405 (EP,US) 
B25B1/2478 (EP,US) 
B25B1/2484 (EP,US) 
B25B1/2489 (EP,US) 
Y10S269/90 (EP,US) 
Y10T29/53961 (EP,US) 
Y10T29/53983 (EP,US)";"1997-06-03";"1996-03-14";"023158844";
"328";"Detachable jaw for vise-like workholding apparatus";"SWANN GEORGE R [US] 
MOORE ERIC R [US] 
PARIS EDWARD S [US]";"CHICK WORKHOLDING SOLUTIONS IN [US]";"US5921534A";"1997-07-03";"B23Q3/06 
B25B1/24";"B25B1/2405 (EP,US) 
B25B1/2478 (EP,US)";"1999-07-13";"1999-01-14";"025392396";
"329";"Improvements in and relating to Metal Cutting Off Machines and the like.";"GORTON GEORGE [US]";"GORTON GEORGE [US]";"GB191019680A";"1909-08-28";"B23D23/00";"B23D23/00 (EP)";"1910-11-17";"1910-11-17";"032596691";
"330";"Indexing apparatus";"SWANN GEORGE R [US] 
MOORE ERIC R [US]";"CHICK MACHINE TOOL INC [US]";"US5501123A";"1994-09-02";"B23Q16/02 
B23Q3/18 
B23Q16/10";"B23Q16/102 (EP,US) 
Y10S269/90 (EP,US) 
Y10T279/13 (EP,US) 
Y10T74/1453 (EP,US)";"1996-03-26";"1996-03-14";"023159814";
"331";"Indexing apparatus";"MOORE JAMES D [US] 
SWANN GEORGE R [US] 
MOORE ERIC R [US]";"CHICK MACHINE TOOL INC [US]";"US5735514A";"1996-09-03";"B25B1/20 
B23Q16/10";"B23Q16/102 (EP,US) 
Y10S269/90 (EP,US) 
Y10T74/1453 (EP,US)";"1998-04-07";"1998-04-07";"024849976";
"332";"Modular vise-like workholding system";"SWANN GEORGE R [US] 
HARTMAN JAMES L [US] 
KREBS JAMES B [US]";"CHICK MACHINE TOOL INC [US]";"US5562277A";"1994-09-02";"B25B1/20 
B23Q3/10 
B23Q37/00 
B25B1/10 
B25B1/22 
B25B1/24";"B23Q3/103 (EP,US) 
B23Q37/00 (EP,US) 
B25B1/103 (EP,US) 
B25B1/22 (EP,US) 
B25B1/2405 (EP,US) 
B25B1/2478 (EP,US) 
B25B1/2484 (EP,US) 
Y10S269/90 (EP)";"1996-10-08";"1996-10-08";"023159836";
"333";"Programmable band saw and method of sawing";"BEAMAN DAVID R [US] 
GROSSMAN JAMES M [US] 
BELLO ALFONSO [US]";"ARMSTRONG BLUM MFG [US]";"US4866630A";"1986-04-14";"B26D5/30 
G06F15/46 
B23D53/04 
B23D55/04 
B23D59/00 
G05B19/23 
G05B19/4093";"B23D53/04 (EP,US) 
B23D55/043 (EP,US) 
B23D59/008 (EP,US) 
G05B19/23 (EP,US) 
G05B19/40937 (EP,US) 
G05B2219/35426 (EP,US) 
G05B2219/36513 (EP,US) 
G05B2219/37296 (EP,US) 
G05B2219/45144 (EP,US) 
G05B2219/50337 (EP,US) 
Y02P90/02 (EP,US) 
Y10T83/162 (EP,US) 
Y10T83/7076 (EP,US)";"1989-09-12";"1989-09-12";"025312152";
"334";"Wheel making machine";"PLOEHN JOHN H";"FRENCH & HECHT INC";"US2209002A";"1939-03-31";"B60B31/00";"B60B31/005 (EP,US)";"1940-07-23";"1940-07-23";"023009463";
"335";"AUTOMATICALLY OPENED OR CLOSED SCREW MECHANISM WITH LIFT NUT";"CHAOLAI FAN [CN] 
YONGJIE FAN [CN] 
MENGQING FAN [CN] 
YONGJIE FANG [CN]";"FAN CHAOLAI [CN]";"CN1024037C 
CN1065514A";"1991-04-03";"F16H25/20 
B23Q5/40 
B25B1/12 
F16H25/20";"B23Q5/406 (EP) 
B25B1/125 (EP) 
F16H25/2025 (EP)";"1992-10-21 
1994-03-16";"1992-10-14";"004905275";
"336";"Computer aided design (CAD) system for automatically constructing datum reference frame (DRF) and feature control frame (FCF) for machine part";"TANDLER WILLIAM [US]";"";"US5949693A";"1996-09-06";"G06F17/50 
G06F17/50";"G06F30/00 (EP,US)";"1999-09-07";"1999-09-07";"024848476";
"337";"Tape controlled saw positioning means for linecasting machines";"NETZNIK FREDERICK P 
JOSEPH GARDBERG";"MOHR LINO SAW COMPANY";"US3291292A";"1964-10-28";"B41B11/72 
B41B27/10";"B41B11/72 (EP,US) 
B41B27/10 (EP,US)";"1966-12-13";"1966-12-13";"023611051";
"338";"Pressure cycling reactor and methods of controlling reactions using pressure";"LAUGHARN JR JAMES A [US] 
DREIER GUSTAV H [US] 
RUDD EDWIN A [US] 
GREEN DAVID J [US]";"BIOSEQ INC [US]";"US6036923A";"1995-03-07";"B01L11/00 
C07H21/04 
C12Q1/68 
G01N7/00 
B01J19/00 
B01J19/18 
B01J3/00 
C12M1/00 
C12N15/00 
C12N9/00";"B01J19/185 (EP,US) 
B01J3/00 (EP,US) 
C12N9/00 (EP,US) 
B01J2219/00162 (EP,US) 
B01J2219/002 (EP,US) 
B01J2219/00211 (EP,US) 
B01J2219/00229 (EP,US) 
Y10T436/143333 (EP,US)";"2000-03-14";"1996-09-12";"027016690";
"339";"METAL-CUTTING-OFF MACHINE.";"GORTON GEORGE [US]";"GORTON GEORGE [US]";"US1063789A";"1909-08-28";"";"B23D21/04 (EP,US) 
Y10T82/16442 (EP,US) 
Y10T82/16754 (EP,US) 
Y10T82/16951 (EP,US) 
Y10T82/16967 (EP,US)";"1913-06-03";"1913-06-03";"003132034";
"340";"Typographical composing, casting, and distributing machine";"PLASTARAS JAMES C";"MERGENTHALER LINOTYPE GMBH";"US2307069A";"1941-02-04";"B41B7/16";"B41B7/16 (EP,US)";"1943-01-05";"1943-01-05";"023488814";
"341";"Kein Titel verfügbar";"";"PUREN RENE [FR]";"FR2169713A1 
FR2169713B1";"1971-12-20";"A01K61/00 
B07B1/00 
B07B1/30";"B07B1/30 (EP)";"1973-09-14 
1977-01-21";"1973-09-14";"009088172";
"342";"Machine à fabriquer les épingles à cheveux à boules ou fraisées";"SCRIVE ALBERT [FR]";"ALBERT SCRIVE [FR]";"FR3097E";"1903-04-03";"B21G1/00";"B21G1/003 (EP)";"1904-08-30";"1904-08-30";"001346086";
"343";"Gearbox packing piece grinder - has magnetic workpiece support and rapid wheel advance mechanism";"";"SANTAELLA JOSEPH [FR]";"FR2293285A1 
FR2293285B3";"1974-12-03";"B24B7/16 
B24B7/16";"B24B7/16 (EP)";"1976-07-02 
1977-09-02";"1976-07-02";"009145991";
"344";"Machine combinée pour la culture de la batterave sucrière";"SAUVAIN ANDRE-VICTOR-POL";"";"FR1088176A";"1953-04-29";"A01B33/10 
A01B51/02 
A01B69/02 
A01D31/02";"A01B33/103 (EP) 
A01B51/026 (EP) 
A01B69/024 (EP) 
A01D31/02 (EP)";"1955-03-03";"1955-03-03";"009613721";
"345";"PROCEDE DE DEVELOPPEMENT D'IMAGES LATENTES MAGNETIQUES OU ELECTROSTATIQUES";"EID BERNARD ALBERT GHISLAIN 
MONTESINO ROBERT";"KODAK PATHE [FR]";"FR2632085A1 
FR2632085B1";"1988-05-31";"G03G15/08 
G03G19/00 
G03G9/08 
G03G15/095 
G03G19/00";"G03G15/095 (EP) 
G03G19/00 (EP)";"1989-12-01 
1990-12-07";"1989-12-01";"009366947";
"346";"Kein Titel verfügbar";"";"MINI VERKEHRSWESEN";"FR2069146A5";"1970-11-06";"E01B29/00 
E01B35/00";"E01B35/00 (EP) 
E01B2203/16 (EP)";"1971-09-03";"1971-09-03";"009063917";
"347";"Appareil coupe-vent pour appareils de transport à équilibre cinématique";"BUNAU-VARILLA ETIENNE [FR]";"ETIENNE BUNAU VARILLA [FR]";"FR473534A";"1913-09-27";"B62J17/08";"B62J17/08 (EP)";"1915-01-14";"1915-01-14";"001511584";
"348";"Machine à découper des tubes cylindriques en éléments à bases parallèles de section droite circulaire";"BECK FREDERIC [FR]";"FREDERIC BECK [FR]";"FR526277A";"1920-10-20";"B23D21/14";"B23D21/14 (EP)";"1921-10-06";"1921-10-06";"008920624";
"349";"Machine support, particularly for a riveting machine, for holding two tools which are called upon to move towards one another";"";"GARONNE ETS AURIOL & CIE [FR] 
AURIOL JEAN MARC [FR] 
BORNES PHILIPPE [FR]";"FR2647700A1 
FR2647700B1";"1989-05-31";"B21D29/00 
B21D28/00 
B21J15/10 
B23Q1/02 
B21J15/10 
B23Q1/01 
B30B15/04";"B21J15/10 (EP) 
B23Q1/015 (EP) 
B30B15/047 (EP)";"1990-12-07 
1993-08-06";"1990-12-07";"009382290";
"350";"Durchlaufwaschmaschine für Textilien oder dergleichen.";"FALLONE ANGELO [FR] 
PETIT JEAN CLAUDE [FR] 
SPENGLER ROGER [FR]";"FALLONE ANGELO [FR] 
PETIT JEAN CLAUDE [FR] 
SPENGLER ROGER [FR]";"EP0541464A1 
EP0541464B1";"1991-11-07";"D06F31/00 
D06F31/00";"D06F31/005 (EP)";"1993-05-12 
1996-02-14";"1993-05-12";"009419178";
"351";"Perfectionnements apportés aux machines à garnir les boîtes de conserve";"ABELENDA JOSE FRAGA 
ABELENDA MANUEL FRAGA";"";"FR1334248A";"1962-09-24";"B65B25/06";"B65B25/06 (EP)";"1963-08-02";"1963-08-02";"008787393";
"352";"Dispositif pour l'établissement et l'entretien des fossés et des accotements sur les routes et analogues";"LEYMARIE RENE";"";"FR1051469A";"1951-12-06";"E02F3/08 
E02F5/06 
E02F5/02";"E02F3/08 (EP)";"1954-01-15";"1954-01-15";"009594685";
"353";"Machine à coudre les valises ou malles plates en cuir et articles similaires";"";"UNITED SHOE MACHINERY AB";"FR562449A";"1922-03-02";"D05B15/00";"D05B15/005 (EP)";"1923-11-10";"1923-06-04";"009809558";
"354";"Kein Titel verfügbar";"";"SAVARY & CIE SEBILLE [FR]";"FR2126145A3 
FR2126145B3";"1971-02-23";"A01B41/00 
A01B41/04";"A01B41/04 (EP)";"1972-10-06 
1973-11-30";"1972-10-06";"009072629";
"355";"Machine for removing the hair from coconuts";"COLAS JEAN";"COMMISSARIAT ENERGIE ATOMIQUE [FR]";"FR2647643A1 
FR2647643B1";"1989-06-02";"A23N5/08 
A23N5/03";"A23N5/03 (EP)";"1990-12-07 
1993-04-23";"1990-12-07";"009382315";
"356";"Integrated machinery for cutting and stacking thin plastic bags - by making stack alignment perforations after cutting and welding";"";"";"BE821134A";"1974-10-16";"B31B 
B31B19/98 
B31B23/00";"B31B70/00 (EP) 
B31B70/984 (EP,US) 
B31B2155/00 (EP) 
B31B2155/003 (EP) 
B31B2160/10 (EP,US)";"1975-02-17";"1975-02-17";"025648157";
"357";"Perfectionnements aux machines à monter les chaussures sur la forme";"";"UNITED SHOE MACHINERY CO FR [FR]";"FR481176A";"1916-03-14";"A43D75/00";"A43D75/00 (EP)";"1916-11-08";"1916-11-08";"001518320";
"358";"Procédé et machine de cordonnerie et l'article en dérivant";"";"UNITED SHOE MACHINERY AB";"FR651259A";"1927-03-28";"A43D8/34 
A43D8/48";"A43D8/34 (EP) 
A43D8/48 (EP)";"1929-02-16";"1929-02-16";"010490152";
"359";"PROCEDE ET MACHINE POUR ENLEVER LA BOURRE DES NOIX DE COCO.";"JEAN-PAUL JUSSEAU";"COMMISSARIAT ENERGIE ATOMIQUE [FR]";"FR2656774A1";"1990-01-05";"A23N5/08 
A23N5/03";"A23N5/03 (EP)";"1991-07-12";"1991-07-11";"009392537";
"360";"Herstellung eines Papiers für Verpackung.";"GOMEZ DANIEL";"GASCOGNE PAPETERIES [FR]";"EP0123567A1 
EP0123567B1";"1983-01-31";"D21D3/00 
D21H3/02 
D21H5/24 
B31B70/00 
B65D65/38 
D21H17/03 
D21H17/07 
D21H17/17 
D21H17/28 
D21H23/00 
D21H27/00 
D21H27/10";"D21H17/07 (EP) 
D21H17/17 (EP) 
D21H17/28 (EP) 
D21H23/00 (EP) 
D21H27/10 (EP)";"1984-10-31 
1987-01-21";"1984-08-02";"009285450";
"361";"Machine pour l'usinage et le tronçonnage rapides des arbres à cames et autres pièces de révolution, par cisaillements tangentiels de la matière";"DREVET NICOLAS";"";"FR1013625A";"1950-02-11";"B23C3/00";"B23C3/00 (EP)";"1952-07-31";"1952-07-31";"009571777";
"362";"Perfectionnements dans les machines à lisser les semelles des chaussures";"";"UNITED SHOE MACHINERY AB";"FR611728A";"1925-02-28";"A43D89/00";"A43D89/00 (EP)";"1926-10-09";"1926-10-09";"022034112";
"363";"Perfectionnements aux machines à encoller les gravures des semelles";"";"UNITED SHOE MACHINERY AB";"FR810946A";"1935-09-25";"A43D25/18";"A43D25/183 (EP)";"1937-04-02";"1937-04-02";"010520670";
"364";"Procédé et machine pour la fabrication de douilles ou rouleaux perfectionnés pour chaînes de transmission.";"RENOLD LIMITED HANS [GB]";"HANS RENOLD LIMITED [GB]";"CH103273A";"1922-04-25";"B21L9/02";"B21L9/02 (EP)";"1924-02-16";"1924-02-16";"004362007";
