"Espacenet";"";"";"";"";"";"";"";"";
"Patentsuche";"";"";"";"";"";"";"";"";
"277 Treffer gefunden für nftxt = ""maschinenschraubstock"" AND pd <= ""2005-01-01""";"";"";"";"";"";"";"";"";
"Treffer 1 bis 277 angezeigt";"";"";"";"";"";"";"";"";
"Abfragesprache: en / de / fr";"";"";"";"";"";"";"";"";
"Sortierkriterien: Relevanz";"";"";"";"";"";"";"";"";
"";"";"";"";"";"";"";"";"";
"No";"Titel";"Erfinder";"Anmelder";"Veröffentlichungsnummer";"Früheste Priorität";"IPC";"CPC";"Veröffentlichungsdatum";"Früheste Veröffentlichung";"Familiennummer";
"255";"FRAESTISCH FUER HEIMWERKERMASCHINEN ZUR DURCHFUEHRUNG VON FRAES- UND FAELZARBEITEN, INSBESONDERE ZUR HERSTELLUNG VON LANGLOECHERN";"";"";"DE7415843U";"1974-05-07";"B23C7/00 
B27C5/04 
B23C7/00 
B27C5/04";"B23Q3/10 (EP)";"1976-04-08";"1976-04-08";"031957293";
"256";"Vorrichtung zum kraftschlüssigen Ausrichten und/oder Fixieren bzw. Festmachen eines Werkstücks oder eines sonstigen Gegenstandes";"";"KRAEMER FRANZ [DE]";"DE20319326U1";"2003-12-12";"B23Q3/00 
B25B1/00 
B25B1/14 
B25B1/18 
B25B1/24 
B23B31/40 
B23D47/04 
B23Q3/18 
B25B1/06 
B25B1/14 
B25B1/20 
B25B1/24 
B25B5/14";"B23B31/4073 (EP) 
B23D47/04 (EP) 
B23Q3/183 (EP) 
B25B1/06 (EP) 
B25B1/14 (EP) 
B25B1/20 (EP) 
B25B1/2405 (EP) 
B25B1/2452 (EP) 
B25B5/147 (EP)";"2004-03-04";"2004-03-04";"031984831";
"257";"Trägerwelle für Rollen";"MURAKAMI MOTOAKI [JP]";"NORITSU KOKI CO LTD [JP]";"DE19642910A1 
DE19642910C2";"1995-10-25";"B65H16/02 
B65H18/04 
G03B27/58 
B65H16/02 
B65H18/04 
B65H75/24 
F16B2/04 
F16D1/06 
F16D1/09";"B65H18/04 (EP,US) 
B65H75/2484 (EP,US) 
B65H2301/41342 (EP,US)";"1997-04-30 
2003-04-30";"1997-04-30";"017586938";
"258";"Spannvorrichtung mit mechanischem Kraftverstärker";"";"GRESSEL AG [CH]";"DE29607064U1";"1996-04-18";"B23Q3/02 
B25B1/14 
B25B1/10";"B25B1/106 (EP)";"1997-08-14";"1997-08-14";"008022778";
"259";"SPANNSYSTEM UND -VERFAHREN ZUM SPANNEN VON WERKSTÜCKEN";"LANG GUENTER [DE]";"LANG GUENTER [DE]";"EP1071542A1 
EP1071542B1";"1998-04-11";"B25B1/24 
B25B1/24";"B25B1/2405 (EP,US) 
B25B1/241 (EP,US)";"2001-01-31 
2002-05-29";"1999-10-21";"007864374";
"260";"KNIEHEBELKRAFTVERSTAERKER";"PREISENHAMMER PETER";"SAURER ALLMA GMBH";"DE2308175A1 
DE2308175B2 
DE2308175C3";"1973-02-19";"F16H21/44 
B25B1/10 
B25B1/14 
B25B1/24 
B30B1/10 
F16H21/26 
F16H21/44 
F16H25/18";"B25B1/106 (EP) 
F16H25/183 (EP)";"1974-09-05 
1975-01-09 
1975-09-04";"1974-09-05";"005872428";
"261";"Druckspeicherblase für gasförmige oder flüssige Druckmedien";"JANSEN HORST [DE]";"JANSEN HORST [DE]";"DE10203008A1 
DE10203008B4";"2002-01-26";"F15B15/10 
F16J3/04 
B25B5/06 
B66F3/35 
F15B11/036 
F15B11/20 
F15B15/10 
F16D65/14 
F16J3/06 
F16J3/04";"B25B5/065 (EP) 
B66F3/35 (EP) 
F15B11/0365 (EP) 
F15B11/20 (EP) 
F15B15/103 (EP) 
F16J3/06 (EP) 
F15B2211/7052 (EP) 
F15B2211/7107 (EP) 
F16D2121/02 (EP) 
F16D2125/14 (EP)";"2003-08-07 
2011-11-17";"2003-08-07";"007713117";
"262";"STEILKEGEL-WERKZEUGHALTER";"JUNG LIEBHARD [DE] 
KRAUSE LUDWIG [DE] 
CLAUSSEN REIMER DR RER NAT [DE]";"OTT GMBH A [DE]";"DE3136149A1";"1981-09-11";"B23B29/04 
B23B31/12";"B23B31/1223 (EP) 
B23B31/1253 (EP)";"1983-03-31";"1983-03-31";"006141436";
"263";"Kein Titel verfügbar";"";"";"DE9014066U1";"1990-10-10";"B25B1/18 
B25B1/10 
B25B1/18 
B25B1/24";"B25B1/106 (EP) 
B25B1/18 (EP) 
B25B1/24 (EP)";"1990-12-13";"1990-12-13";"006858232";
"264";"Tragbare Vorrichtung zur Bearbeitung von Rohrenden";"SINGER STEFAN [DE]";"FISCHER G ROHRVERBINDUNGSTECH [DE] 
ILLINOIS TOOL WORKS [US]";"DE10120185A1 
DE10120185B4";"2001-04-24";"B23B5/16 
B23B5/16";"B23B5/163 (EP,US) 
Y10T82/22 (EP,US) 
Y10T82/2522 (EP,US)";"2002-11-21 
2007-05-24";"2002-10-25";"007682626";
"265";"SCHRAUBSTOCK FUER WERKZEUGMASCHINEN";"BRASCA CARLO";"BRASCA CARLO";"DE2650516A1";"1975-12-19";"B23Q3/02 
B25B1/18";"B25B1/18 (EP,US)";"1977-06-30";"1977-06-30";"011230049";
"266";"WERKBANK, INSEBESONDERE ALS LEHRMITTEL IN DER FORM EINER ERGONOMISCH GESTALTETEN MEHRZWECK-WERKBANK";"THORMEIER KLAUS [DE]";"THORMEIER KLAUS [DE]";"WO9423908A1";"1993-04-10";"B25H1/08 
B25H1/08 
B25H1/10";"B25H1/08 (EP,US) 
B25H1/10 (EP,US) 
Y10S269/90 (EP,US)";"1994-10-27";"1994-10-13";"006485323";
"267";"Spannvorrichtung mit mechanischem Kraftverstärker";"BERCHTOLD HEINRICH [CH]";"GRESSEL AG [CH]";"EP0802022A1 
EP0802022B1";"1996-04-18";"B25B1/10 
B25B1/10 
B25B17/00 
F16H25/18";"B25B1/00 (KR) 
B25B1/106 (EP,US) 
F16H25/18 (EP,US)";"1997-10-22 
1999-06-09";"1997-10-02";"007791646";
"268";"Schraubstock";"DURFEE JUN DAVID L [US]";"DURFEE JUN [US]";"DE4430673A1";"1993-08-31";"B23Q3/02 
B25B1/00 
B25B1/10 
B25B1/18 
B23Q3/10 
B25B1/10 
B25B1/24";"B23Q3/102 (EP,US) 
B25B1/103 (EP,US) 
B25B1/2405 (EP,US) 
B25B1/2473 (EP,US) 
B25B1/2478 (EP,US) 
B25B1/2489 (EP,US) 
Y10S269/906 (EP)";"1995-03-02";"1995-03-02";"026810655";
"269";"Anschlussstück für Hochdruckschlauch";"IRVING DAVID PRESS [US]";"RESISTOFLEX CORP [US]";"CH425376A";"1961-08-23";"F06L 
F16L33/207";"F16L33/2073 (EP)";"1966-11-30";"1965-09-29";"022458512";
"270";"SCHRAUBSTOCK";"HICKMAN RONALD PRICE [GB]";"TEKRON LICENSING BV [NL]";"DE3042677A1";"1979-11-15";"B25B1/10 
B25B1/12 
B25B1/24";"B25B1/125 (EP) 
B25B1/2436 (EP)";"1981-05-27";"1981-05-22";"010509231";
"271";"Spann- und Anschlagvorrichtung zum schnellen Spannen und Anschlagen von Werkstücken";"FOERSTER RAINER [DE]";"FOERSTER RAINER [DE]";"DE10008493C1";"2000-02-24";"B23K9/32 
B23Q3/02 
B25B1/00 
B25B1/18 
B25B1/10 
B25B1/24 
B25B5/06 
B25B5/10";"B25B1/103 (EP) 
B25B1/2463 (EP) 
B25B1/2473 (EP) 
B25B5/065 (EP) 
B25B5/101 (EP)";"2001-05-23";"2001-05-23";"007632138";
"272";"Spannelement, enthaltend eine Schnellzustellvorrichtung kombiniert mit einem Kraftverstärker.";"SCHAEUBLIN THOMAS [CH] 
BERCHTOLD HEINRICH [CH]";"GRESSEL AG [CH]";"EP0509267A2 
EP0509267A3 
EP0509267B1";"1991-04-17";"B25B1/10 
B23Q3/02 
B25B1/24 
B23Q3/06 
B25B1/06 
B25B1/10 
F16H25/18";"B25B1/106 (EP,US) 
F16B2/06 (KR) 
F16H25/183 (EP,US)";"1992-10-21 
1993-03-24 
1996-12-27";"1992-08-13";"031994902";
"273";"WERKSTÜCKHALTEVORRICHTUNG";"FREI ALBERT [DE]";"FREI ALBERT [DE]";"WO2004054757A2 
WO2004054757A3";"2002-12-16";"B23Q1/58 
B23Q3/06 
B25B1/10 
B25B1/24 
B23Q1/58 
B25B1/10 
B25B1/18 
B25B1/24";"B23Q1/58 (EP) 
B25B1/103 (EP) 
B25B1/106 (EP) 
B25B1/18 (EP) 
B25B1/2405 (EP)";"2004-07-01 
2004-12-16";"2004-07-01";"032519012";
"274";"Fluessiger Kitt";"BRYANT GUSTAVE";"BROADVIEW CHEM CORP";"DE1769934A1 
DE1769934B2 
DE1769934C3";"1967-08-08";"C09K3/10 
C09J3/00 
C09J4/00 
C09J4/06";"C09J4/00 (EP,US) 
C09J4/06 (EP,US) 
Y10T428/31681 (EP,US) 
Y10T428/31699 (EP,US) 
C09J4/00, C08F220/00, INV (EP,US)       
C09J4/06, C08F263/00, INV (EP,US)      ";"1971-10-28 
1978-11-23 
1979-07-26";"1969-09-05";"024643713";
"275";"VERFAHREN ZUR HERSTELLUNG BZW. ALLSEITENBEARBEITUNG VON WERKSTUECKEN UND BEARBEITUNGSZENTRUM ZUR DURCHFUEHRUNG DES VERFAHRENS";"";"CERNY ANTON [AT]";"AT390023B 
ATA252187A";"1987-10-05";"B23B31/16 
B23C1/14 
B23Q3/00 
B23B3/16 
B23B31/16 
B23F17/00 
B23K26/00 
B23K26/08 
B23P13/02 
B23P23/02 
B23Q39/04";"B23B3/168 (EP,US) 
B23B31/16 (EP,US) 
B23B31/16275 (EP,US) 
B23F17/00 (EP,US) 
B23K26/0093 (EP,US) 
B23K26/0823 (EP,US) 
B23P13/02 (EP,US) 
B23P23/02 (EP,US) 
B23Q39/048 (EP,US) 
Y10T279/26 (EP,US) 
Y10T29/49996 (EP,US) 
Y10T409/303752 (EP,US) 
Y10T82/10 (EP,US)";"1989-08-15 
1990-03-12";"1989-08-15";"003535770";
"276";"Kein Titel verfügbar";"";"";"DE2065116A1";"1969-05-02";"B23B31/26 
B23Q3/157";"B23B31/265 (EP,US) 
B23B2270/20 (EP,US) 
Y10T409/30448 (EP,US) 
Y10T409/309464 (EP,US) 
Y10T483/1779 (EP,US) 
Y10T483/1882 (EP,US)";"1972-11-02";"1970-11-26";"025233175";
"277";"VERFAHREN ZUR REGELUNG VON ENZYMATISCHEN REAKTIONEN";"LAUGHARN A [US] 
DREIER H [US] 
RUDD A [US] 
GREEN J [US]";"B B I BIOSEQ INC [US]";"DE69615165T2";"1995-03-07";"B01J3/00 
C07H21/00 
C07K1/04 
C12M1/40 
C12Q1/68 
B01J19/00 
B01J19/18 
B01J3/00 
C12M1/00 
C12N15/00 
C12N9/00";"B01J19/185 (EP,US) 
B01J3/00 (EP,US) 
C12N9/00 (EP,US) 
B01J2219/00162 (EP,US) 
B01J2219/002 (EP,US) 
B01J2219/00211 (EP,US) 
B01J2219/00229 (EP,US) 
Y10T436/143333 (EP,US)";"2002-05-16";"1996-09-12";"027016690";
